Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-12-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-12-28,2022-12-28,2023-01-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2023-01-28
2022-12-28,2022-12-28,2023-01-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2023-01-28
2022-12-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-11-28,2022-11-28,2022-12-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2022-12-28
2022-11-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-11-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-11-28,2022-11-28,2022-12-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2022-12-28
2022-10-28,2022-10-28,2022-11-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2022-11-28
2022-10-28,2022-10-28,2022-11-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2022-11-28
2022-10-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-10-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-09-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-09-28,2022-09-28,2022-10-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2022-10-28
2022-09-28,2022-09-28,2022-10-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2022-10-28
2022-09-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-08-28,2022-08-28,2022-09-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2022-09-28
2022-08-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-08-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-08-28,2022-08-28,2022-09-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2022-09-28
2022-07-28,2022-07-28,2022-08-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2022-08-28
2022-07-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-07-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-07-28,2022-07-28,2022-08-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2022-08-28
2022-06-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-06-28,2022-06-28,2022-07-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2022-07-28
2022-06-28,2022-06-28,2022-07-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2022-07-28
2022-06-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-05-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,NEW,,BR,
2022-05-28,2022-05-28,2022-06-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,APPROVED,SETTLED,BR,2022-06-28
2022-05-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,SALE,APPROVED,,BR,
2022-05-28,2022-05-28,2022-06-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.87,25.9,SALE,NEW,SETTLED,BR,2022-06-28
2022-04-28,2022-04-28,2022-05-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.91,25.9,CAPTURE,APPROVED,SETTLED,BR,2022-05-28
2022-04-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,CHARGE,APPROVED,,BR,
2022-04-28,,,payment_transaction,CC,9359,,,,BRL,,25.9,CAPTURE,APPROVED,,BR,
2022-04-28,2022-04-28,2022-05-27,SUBSCRIPTION,MASTERCARD,9359,,ADYEN,25.9,BRL,2.91,25.9,CHARGE,APPROVED,SETTLED,BR,2022-05-28
